Route_ID,Day,Stop_Number,Route_Length_km,Traffic_Condition,Average_Speed_km_h,Fuel_Consumption_L_per_100km,Travel_Time_min,Stop_Time_Spent_min,Waste_Collected_kg
1,1,1,25.52,High,24.44,7.73,62.65,11.66,38.76
1,1,2,25.52,High,24.44,7.73,62.65,10.91,54.58
1,1,3,25.52,High,24.44,7.73,62.65,8.83,33.16
1,1,4,25.52,High,24.44,7.73,62.65,14.72,54.68
1,1,5,25.52,High,24.44,7.73,62.65,7.36,57.36
1,1,6,25.52,High,24.44,7.73,62.65,7.56,48.49
1,1,7,25.52,High,24.44,7.73,62.65,7.02,40.34
1,1,8,25.52,High,24.44,7.73,62.65,13.96,76.34
1,1,9,25.52,High,24.44,7.73,62.65,11.96,39.75
1,1,10,25.52,High,24.44,7.73,62.65,6.39,58.73
1,1,11,25.52,High,24.44,7.73,62.65,7.03,72.87
1,1,12,25.52,High,24.44,7.73,62.65,14.43,66.23
1,1,13,25.52,High,24.44,7.73,62.65,13.8,58.24
1,1,14,25.52,High,24.44,7.73,62.65,11.24,43.9
1,1,15,25.52,High,24.44,7.73,62.65,9.57,46.84
1,1,16,25.52,High,24.44,7.73,62.65,7.18,59.63
1,2,1,28.95,Medium,31.13,5.82,55.8,8.56,47.42
1,2,2,28.95,Medium,31.13,5.82,55.8,11.48,54.61
1,2,3,28.95,Medium,31.13,5.82,55.8,5.01,36.51
1,2,4,28.95,Medium,31.13,5.82,55.8,6.65,39.81
1,2,5,28.95,Medium,31.13,5.82,55.8,10.34,69.45
1,2,6,28.95,Medium,31.13,5.82,55.8,7.69,48.47
1,2,7,28.95,Medium,31.13,5.82,55.8,7.44,45.17
1,2,8,28.95,Medium,31.13,5.82,55.8,10.58,44.3
1,2,9,28.95,Medium,31.13,5.82,55.8,9.04,49.85
1,2,10,28.95,Medium,31.13,5.82,55.8,7.47,49.73
1,2,11,28.95,Medium,31.13,5.82,55.8,11.96,42.42
1,2,12,28.95,Medium,31.13,5.82,55.8,14.98,54.57
1,2,13,28.95,Medium,31.13,5.82,55.8,7.67,49.36
1,2,14,28.95,Medium,31.13,5.82,55.8,5.33,53.45
